color;streak;lustre;transparency;cleavage;mohs_hardness;density;fracture;group
7;7;1;3;6;2.5-3;19.32;4;8
"5;12";"5;12";1;3;6;2.5-3;8.92;4;8
"2;3";"2;3";6;3;2;1;2.08-2.23;6;8
7;7;"3;6";3;4;1-2;2.070;6;8
"1;3;13";1;"3;8";"1;2";3;2.5-3;6.36;2;6
"1;3;13";1;"2;4";"1;2;3";2;3-3.5;4.3-4.7;2;6
"1;13";1;"2;4";"1;2";2;3-3.5;4;2;6
"1;3;13";1;"2;4;5;6";"1;2";1;1.5-2;2.32;"1;3;4;6";6
"1;13";"1;3";"2;4;6";"1;2";2;3-3.5;2.95;3;6
8;8;"2;4";"1;2";2;3.5-4;4.09;"1;2";6
"6;7";6;2;1;2;3-4;4;2;6
1;1;8;"2;3";3;2;2.52;2;6
10;9;"2;3";"1;2";2;2.5;5.35;6;6
"1;13";1;2;1;5;1.5;1.84;6;6
"9;10";1;2;2;5;2.5;2.28;6;6
7;7;"3;4";1;1;1.5-2;3.48;6;5
"5;7;10;11";"2;3";1;3;4;3-3.5;4.9-5.2;"2;6";5
"4;5;7";1;3;1;2;3.5-4;3.10;"3;4;6";5
"1;7";2;1;3;2;3;8.27;3;5
"3;9;12";"3;8;9";1;3;1;1-1.5;4.62-4.73;2;5
5;2;1;3;4;5-5.5;7.834;"2;6";5
"3;4;7";"2;8";1;3;2;3-4;4.5-5;3;5
"2;3;7";3;1;3;4;2.5-3;8.74;"2;6";5
7;"4;7";1;3;3;1-2;7.1;1;5
"3;8";3;1;3;4;2-3;8.395;2;5
5;5;3;"2;3";2;2-2.5;8-8.2;"2;3";5
10;2;3;3;2;1.5-2;4.602;3;5
3;2;1;3;6;3;7.799;6;5
7;"2;8";1;3;2;3-3.5;5.374;6;5
"5;7";"2;3";1;3;4;3.5-4;4.58-4.65;"2;6";5
"5;11";5;1;3;6;3.5;7.467;6;5
"1;3;4;7;8;12;13";1;6;"1;2";4;3.5;3.78;6;3
"1;2;3;7;8;10;13";1;"2;3;6;8";"1;2";3;3-3.5;6.46-6.58;"2;6";3
"1;2;5;7;8;9;13";1;"2;4;8";"1;2;3";2;3;2.711;"2;3;6";3
"7;9;12;13";1;2;1;2;3;2.6-2.8;6;3
"1;4;5;7;8";1;"2;5;6";2;2;3.5-4.5;1.2;6;3
"1;3;7;12;13";1;"2;8";"1;2;3";2;3.5-4.5;3.0;"2;3;6";3
"1;2;3;4;5;12;13";1;2;"1;2";2;3.5-4;3.3-3.5;6;3
"1;3;8;9;12";1;"2;8";"1;2";2;4-4.5;4.43;"2;3";3
"2;3;4;5;12";"5;12";2;2;4;4;4.214;2;3
"3;8";8;"2;3;5;8";"2;3";2;3.5-4;4.05;"2;6";3
"8;9";9;"2;4;5";2;2;4.5;4.15;"2;4;6";3
7;7;2;2;4;4;3.531;2;3
9;9;2;"2;3";2;3.5-4;3.77;6;3
"8;9;10";9;"4;5";"1;2";2;1-2;3.93-3.94;6;3
"1;3;4;5;7;12;13";1;"4;5";1;2;2-2.5;4.01;6;3
"3;4;7";"2;13";2;2;2;3.5-4.5;3.7-3.9;"2;6";3
12;1;"4;7";"1;2";2;1.5-2;2.11;2;3
"5;7";"1;3";"3;6;7";2;3;5-5.5;5.13;"2;6";2
"2;3;5;7;12";7;"3;6;7";"2;3";3;5-5.5;5.26;6;2
"5;12";"1;3";"3;6;7";2;3;5-5.5;5.43;"2;6";2
"1;7";1;"2;6";"1;2";3;5-5.5;5.51;"2;6";2
"2;4;5;11";5;"5;8";"2;3";3;4-4.5;3.2-3.4;2;2
"3;8;9";"8;10";"2;4";"1;2";2;2.5-3;4.42;2;2
"1;3;6;7;8";1;"2;3;6";"1;2";5;3.5-4;7.04;"2;6";2
"3;4;5";1;2;2;2;3.5-4;2.91;"2;6";2
"7;8";1;2;1;2;5.5;2.998;6;2
"8;9;10";9;2;"1;2";6;4.5;4.1;2;2
"1;7;8;9;10";1;2;"1;2;3";4;5.5-6;2.6;"2;6";2
"2;8";8;"2;6";2;4;4;3.97;"2;6";2
"2;8;10";"8;10";2;1;2;4.5-5;4.34;4;2
"1;4;5;7;8;9;10;13";1;"2;7";"1;2;3";2;4-5;2.5-2.6;"2;6";2
"3;8;10;13";"1;4;9;10;13";"2;4";"1;2";2;1.5-2;2.67-2.71;4;2
"1;8";8;2;1;2;3.5;2.8;2;2
"1;9;13";1;"2;4";1;2;2-2.5;2.133;2;2
"1;2;4;7;9;13";1;"2;5";2;4;3.5-5;2.955;2;2
"8;9;10";1;"2;7";3;2;5-6;2.6-2.8;"2;6";2
"7;8";1;2;2;5;3-4;3.40;2;2
"3;6;8;13";1;2;2;5;4-4.5;2.43;2;2
"9;10;12;13";1;2;"1;2;3";6;4;2.28;"2;6";2
4;7;"2;6";2;6;5.5-6;2.42;6;2
"7;13";1;2;1;4;5.5;2.551;2;2
"2;8";"3;8";"2;8";3;2;5.5-6;3.56;"2;6";1
"1;3;7;8";"1;8";"6;8";"1;2;3";3;5.5-6.5;3.22-3.38;"2;3;6";1
8;1;2;3;2;5.5-6;3.22-3.38;"2;6";1
8;1;2;3;2;5-6;3.3;"2;3;6";1
"1;2;3;8";1;"2;4;8";"1;2;3";2;6-6.5;3.24-3.42;"2;4;6";1
"3;4;8;13";"3;8";2;"1;2";2;6;3.27-3.54;"2;6";1
13;1;2;2;3;5-6;4.068;2;1
8;8;"2;5";1;3;7;3.55;2;1
8;"8;1";"2;5";2;3;6.5-7;3.36;"2;6";1
"1;8;13";1;"2;4";"1;2";2;6.5-7;3.03-3.23;"2;6";1
"8;3";8;"2;4";"1;2";2;6.5-7;3.03-3.23;"2;6";1
"11;12";1;"2;4";"1;2";2;6.5-7;3.03-3.23;"2;6";1
"2;8";2;2;"2;3";3;6;3.5-3.6;2;1
"1;3;7;8";1;"2;4";"2;3";3;5-6;3.2-3.9;2;1
"5;12";1;"2;4;8";"1;2;3";2;5.5-6.5;3.57-3.76;"2;6";1
"2;8";4;2;"2;3";2;5.5-6;3.26;2;1
"3;4;7;8";"1;3";2;"1;2";2;5.5-6;2.9-3.5;2;1
"2;3;8";1;"2;5;8";"1;2";3;5-6;3.07;"2;4;6";1
"2;8";1;"2;5";"2;3";5;5-6;3.07;2;1
"2;4";2;2;2;2;6.5;3.46;4;1
"2;3;8;9";1;2;"1;2";2;5-6;3.2;2;1
"2;8;3";3;"2;5;8";"2;3";2;5-6;2.9-3.4;"2;4;6";1
"1;3;12";1;"2;4";"1;2";2;5-6;2.9;"2;6";1
8;8;2;"1;2";2;5-6;3.15;2;1
"2;8";"3;8";2;"2;3";2;5-6;3.3;2;1
"2;3;10";"3;9";"2;4";2;2;6;3.1;"2;6";1
"2;10";10;2;2;2;6;3.12-3.29;"2;6";1
"2;10";"4;8";"2;5";2;2;6;3.4;"2;6";1
"4;6;7";1;"2;4;8";"1;2";1;3-3.5;3.3;"2;6";1
"4;7;8";1;2;"2;3";2;3;3.3;2;1
"7;8;10";1;2;"1;2";4;7.5;3.5;6;1
"2;11";"4;5";"2;6";"2;3";3;5.5;3.84;2;1
12;1;2;"1;2";2;5.5-6.5;3.4;2;1
"1;3;8;12";1;"2;4";"1;2";2;4.5-5;2.9;2;1
"1;3;13";1;"2;5";"1;2";2;4.5-5;2.9;2;1
"1;3;9";1;2;3;2;4.5-5;2.9;2;1
4;4;"2;6";"2;3";3;1-2;2.96-3.10;2;1
"4;11";"4;7";"2;3;5";"2;3";3;6;3.44;2;1
"2;5";5;2;"1;2;3";3;5-6;3.2;"2;6";1
2;4;2;"1;2";2;5-6;3.2;6;1
"1;7;13";1;2;"1;2";2;6;2.85;2;1
"4;7";1;2;1;2;4-5;2.77;4;1
11;1;"2;5";2;3;4.5-5;2.54;2;1
"1;13";1;2;"1;2";5;6;2.7;"2;6";1
10;9;5;2;2;3.5;4.1;2;1
9;"1;9";2;2;3;3;2.46;2;1
"2;4;8";"1;3";"1;2;4";"1;2;3";1;2.5-3;2.7-3.3;2;1
"7;12;13";1;"2;4";2;2;2.5-4;2.8-2.9;2;1
"2;3;4;7";1;"2;4";"1;2";1;2.5-4;2.9-3;2;1
"4;5";1;2;"1;2";1;2-3;2.8-2.9;2;1
"4;5;7";1;4;"1;2";1;2-3;2.8;2;1
"7;8;10";8;8;"2;3";1;2;2.4-2.9;2;1
7;1;2;2;2;2-3;2.5;2;1
"8;10";"1;8";8;2;1;2;3;8;1
"1;7;8";1;"2;4;5";"1;2";2;2-3;2.77-2.88;2;1
1;1;5;"1;2";1;2.5;2.83;2;1
8;1;"2;4;5";2;2;2.5-3;2.83;2;1
"1;7;8;13";"1;8";"4;8";"1;2";2;1.5;2.2-2.6;2;1
1;1;5;1;2;2-2.5;2.6;8;1
1;1;"4;8";"1;2";2;2-2.5;2.63;8;1
"1;3";1;7;2;3;2-2.5;2.35;"2;6";1
"1;7;9";1;4;"2;3";2;1-2;2.81;2;1
"1;7;8;3";1;"4;6";"1;2";1;1;2.5-2.8;2;1
"1;7;3;8";1;"2;7";2;3;6-6.5;2.8-2.95;2;1
"1;3;7;10";1;6;2;2;1-2.5;2.24-2.3;2;1
"1;8";8;6;2;2;2;2.42;2;1
"1;7";1;7;3;2;1-2;2.15;8;1
8;8;8;2;2;1-2;2.11-2.36;6;1
"1;3";1;8;"2;3";1;1-2;2-3;2;1
1;1;"2;4";"1;2";2;5;2.28-2.33;2;1
"8;13";1;"2;7";2;5;3;2.75;"6;8";1
"7;8;9";8;4;1;1;2.5-3;3.18;2;1
3;"3;12";6;3;2;3;2.6;2;1
"1;8";1;4;2;2;2.5;2.66;2;1
"1;3;8";"1;13";"4;6;8";"1;2";1;2-2.5;2.6;2;1
"1;7;8";1;"4;5";"1;2";2;2.5-3.5;2.9;2;1
"4;5;6";7;4;"2;3";2;2-2.5;3.18;2;1
"3;7;8";"3;8";"2;4;8";3;3;2.5-3;3-3.4;2;1
10;"1;10";2;1;3;3-4;2.2-2.3;2;1
"1;3;13";1;"2;4";"1;2";2;6.5;2.4;6;1
"8;10";1;2;"2;3";5;2-4;1.9-2.4;"2;6";1
"1;3;4;7;8;9;12";1;2;"2;3";2;6-6.5;2.56;2;1
"1;4;7;12;13";1;"2;4;5";"1;2;3";2;6-6.5;2.55-2.63;2;1
"1;4;7";1;"2;4";2;2;6;2.56;2;1
"1;7;13";1;"2;4";"1;2";2;6-6.5;2.609-2.621;"2;6";1
